,0
0,35.043
1,35.509
2,35.976
3,36.977
4,35.043
5,35.509
6,35.976
7,36.443
8,36.977
9,35.043
10,35.51
11,35.976
12,36.443
13,36.977
14,35.043
15,35.51
16,35.976
17,36.443
18,36.978
19,35.043
20,35.51
21,35.976
22,36.443
23,36.978
24,35.043
25,35.51
26,35.976
27,36.443
28,36.978
29,16.269
30,16.777
31,17.288
32,17.941
33,18.308
34,18.819
35,16.269
36,16.777
37,17.288
38,17.941
39,18.309
40,18.819
41,16.269
42,16.777
43,17.288
44,17.941
45,18.309
46,18.819
47,16.269
48,16.777
49,17.288
50,17.941
51,18.309
52,18.819
53,16.269
54,16.777
55,17.288
56,17.941
57,18.309
58,18.819
59,16.777
60,17.288
61,17.941
62,18.309
63,18.819
64,28.315
65,28.213
66,28.112
67,28.011
68,28.315
69,28.213
70,28.112
71,28.011
72,28.315
73,28.213
74,28.112
75,28.011
76,28.315
77,28.213
78,28.112
79,28.011
80,28.314
81,28.213
82,28.112
83,28.011
84,28.314
85,28.213
86,28.112
87,28.011
88,18.139
89,18.298
90,18.454
91,18.63
92,18.77
93,18.139
94,18.298
95,18.454
96,18.63
97,18.77
98,18.139
99,18.298
100,18.454
101,18.63
102,18.77
103,18.139
104,18.298
105,18.454
106,18.63
107,18.77
108,18.139
109,18.298
110,18.454
111,18.63
112,18.77
113,18.139
114,18.298
115,18.454
116,18.63
117,18.77
118,33.0
119,33.253
120,33.503
121,33.761
122,33.0
123,33.253
124,33.503
125,33.761
126,33.0
127,33.253
128,33.503
129,33.761
130,33.0
131,33.253
132,33.503
133,33.761
134,33.0
135,33.253
136,33.503
137,33.761
138,33.0
139,33.253
140,33.503
141,33.761
142,28.415
143,28.726
144,29.037
145,29.348
146,29.659
147,29.97
148,28.415
149,28.726
150,29.037
151,29.348
152,29.659
153,29.97
154,28.415
155,28.726
156,29.037
157,29.348
158,29.659
159,29.97
160,28.415
161,28.726
162,29.037
163,29.348
164,29.659
165,29.971
166,28.415
167,28.726
168,29.037
169,29.348
170,29.659
171,29.971
172,28.415
173,28.726
174,29.037
175,29.348
176,29.659
177,29.971
178,14.731
179,14.31
180,13.886
181,13.464
182,13.042
183,14.731
184,14.31
185,13.885
186,13.464
187,13.042
188,14.731
189,14.31
190,13.885
191,13.463
192,13.042
193,14.731
194,14.309
195,13.885
196,13.463
197,13.042
198,14.731
199,14.309
200,13.885
201,13.463
202,13.042
203,14.731
204,14.309
205,13.885
206,13.463
207,13.042
208,21.181
209,21.486
210,21.793
211,22.104
212,22.411
213,22.719
214,23.031
215,21.181
216,21.486
217,21.793
218,22.104
219,22.411
220,22.719
221,23.031
222,21.181
223,21.486
224,21.793
225,22.104
226,22.411
227,22.719
228,23.031
229,21.181
230,21.486
231,21.793
232,22.104
233,22.411
234,22.719
235,23.031
236,21.181
237,21.486
238,21.793
239,22.104
240,22.411
241,22.719
